Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;EE;LV;LV;LT;LT;AT;AT;BE;BE;DE-LU;DE-LU;FR;FR;NL;NL
01.01.2020;00 - 01;304,19;283,87;283,87;283,87;283,87;283,87;329,64;329,64;313,86;313,86;313,86;283,87;283,87;283,87;;283,87;;283,87;;283,87;;;;;;;;;;
01.01.2020;01 - 02;302,12;280,62;280,62;280,62;280,62;280,62;313,36;313,36;313,36;313,36;313,36;280,62;280,62;280,62;;280,62;;280,62;;280,62;;;;;;;;;;
01.01.2020;02 - 03;299,65;275,19;275,19;275,19;275,19;275,19;311,39;311,39;311,39;311,39;311,39;275,19;275,19;275,19;;275,19;;275,19;;275,19;;;;;;;;;;
01.01.2020;03 - 04;296,3;271,44;271,44;271,44;271,44;271,44;308,53;308,53;308,53;308,53;308,53;271,44;271,44;271,44;;271,44;;271,44;;271,44;;;;;;;;;;
01.01.2020;04 - 05;291,57;271,64;271,64;271,64;271,64;271,64;304,29;304,29;303,01;303,01;303,01;271,64;271,64;271,64;;271,64;;271,64;;271,64;;;;;;;;;;
01.01.2020;05 - 06;277,16;261,88;261,88;261,88;261,88;261,88;297,29;297,29;298,57;298,57;298,57;261,88;261,88;261,88;;261,88;;261,88;;261,88;;;;;;;;;;
01.01.2020;06 - 07;271,94;254,77;254,77;254,77;254,77;254,77;297,58;297,58;297,58;297,58;297,58;254,77;254,77;254,77;;254,77;;254,77;;254,77;;;;;;;;;;
01.01.2020;07 - 08;269,77;247,28;247,28;247,28;247,28;247,28;295,91;295,91;297,29;297,29;297,29;247,28;247,28;247,28;;247,28;;247,28;;247,28;;;;;;;;;;
01.01.2020;08 - 09;276,08;253;253;253;253;253;302,12;302,12;300,74;300,74;300,74;253;253;253;;253;;253;;253;;;;;;;;;;
01.01.2020;09 - 10;279,73;257,93;257,93;257,93;257,93;257,93;301,72;301,72;301,72;301,72;301,72;257,93;257,93;257,93;;257,93;;257,93;;257,93;;;;;;;;;;
01.01.2020;10 - 11;280,62;264,05;264,05;264,05;264,05;264,05;298,57;298,57;298,57;298,57;298,57;264,05;264,05;264,05;;264,05;;264,05;;264,05;;;;;;;;;;
01.01.2020;11 - 12;286,24;270,26;270,26;270,26;270,26;270,26;299,26;299,26;299,26;299,26;299,26;270,26;270,26;270,26;;270,26;;270,26;;270,26;;;;;;;;;;
01.01.2020;12 - 13;289,99;276,97;276,97;276,97;276,97;276,97;301,72;301,72;301,72;301,72;301,72;276,97;276,97;276,97;;276,97;;276,97;;276,97;;;;;;;;;;
01.01.2020;13 - 14;290,09;282,98;282,98;282,98;282,98;282,98;296,3;296,3;299,65;299,65;299,65;282,98;282,98;282,98;;282,98;;282,98;;282,98;;;;;;;;;;
01.01.2020;14 - 15;295,12;289,69;289,69;289,69;289,69;289,69;301,82;301,82;301,82;301,82;301,82;289,69;289,69;289,69;;289,69;;289,69;;289,69;;;;;;;;;;
01.01.2020;15 - 16;299,46;295,61;295,61;295,61;295,61;295,61;306,66;306,66;306,66;306,66;306,66;295,61;295,61;295,61;;295,61;;295,61;;295,61;;;;;;;;;;
01.01.2020;16 - 17;304,09;300,44;300,44;300,44;300,44;300,44;311;311;311;311;311;300,44;300,44;300,44;;300,44;;300,44;;300,44;;;;;;;;;;
01.01.2020;17 - 18;304,88;299,75;299,75;299,75;299,75;299,75;313,46;313,46;313,46;313,46;313,46;299,75;299,75;299,75;;299,75;;299,75;;299,75;;;;;;;;;;
