Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;EE;LV;LV;LT;LT;AT;AT;BE;BE;DE-LU;DE-LU;FR;FR;NL;NL
02.01.2019;07 - 08;493,13;492,74;492,74;492,74;492,74;492,74;371,54;371,54;497,4;497,4;497,4;492,74;492,74;492,74;;492,74;;492,74;;492,74;;;;;;;;;;
02.01.2019;08 - 09;498,39;495,91;495,91;495,91;495,91;495,91;477,05;477,05;503,66;503,66;503,66;495,91;495,91;495,91;;495,91;;495,91;;495,91;;;;;;;;;;
02.01.2019;09 - 10;503,46;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;503,66;;503,66;;503,66;;503,66;;;;;;;;;;
02.01.2019;10 - 11;498;496,21;496,21;496,21;496,21;496,21;477,55;477,55;503,16;503,16;503,16;496,21;496,21;496,21;;496,21;;496,21;;496,21;;;;;;;;;;
02.01.2019;11 - 12;498,1;498,79;498,79;498,79;498,79;498,79;483,01;483,01;498,99;498,99;498,99;498,79;498,79;498,79;;498,79;;498,79;;498,79;;;;;;;;;;
02.01.2019;12 - 13;495,52;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;495,71;;495,71;;495,71;;495,71;;;;;;;;;;
02.01.2019;13 - 14;496,11;496,01;496,01;496,01;496,01;496,01;469,11;469,11;497,4;497,4;497,4;496,01;496,01;496,01;;496,01;;496,01;;496,01;;;;;;;;;;
02.01.2019;14 - 15;505,24;505,54;505,54;505,54;505,54;505,54;492,74;505,54;505,54;505,54;505,54;505,54;505,54;505,54;;505,54;;505,54;;505,54;;;;;;;;;;
02.01.2019;15 - 16;520,33;519,93;519,93;519,93;519,93;519,93;532,74;519,93;519,93;519,93;519,93;519,93;519,93;519,93;;519,93;;519,93;;519,93;;;;;;;;;;
02.01.2019;16 - 17;544,35;542,67;542,67;542,67;542,67;542,67;555,97;555,97;542,67;542,67;542,67;542,67;542,67;542,67;;542,67;;542,67;;542,67;;;;;;;;;;
02.01.2019;17 - 18;550,51;551,7;551,7;551,7;551,7;551,7;565,3;565,3;551,7;551,7;551,7;551,7;551,7;551,7;;551,7;;551,7;;551,7;;;;;;;;;;
02.01.2019;18 - 19;550,21;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;549,81;;549,81;;549,81;;549,81;;;;;;;;;;
02.01.2019;19 - 20;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;544,95;;544,95;;544,95;;544,95;;;;;;;;;;
02.01.2019;20 - 21;534,03;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;534,63;;534,63;;534,63;;534,63;;;;;;;;;;
02.01.2019;21 - 22;522,81;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;523,21;;523,21;;523,21;;523,21;;;;;;;;;;
02.01.2019;22 - 23;516,46;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;517,06;;517,06;;517,06;;484,8;;;;;;;;;;
02.01.2019;23 - 00;503,66;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;503,85;;503,85;;503,85;;387,22;;;;;;;;;;
03.01.2019;00 - 01;493,19;493,39;493,39;493,39;493,39;493,39;425,13;425,13;495,67;495,67;495,67;493,39;493,39;493,39;;493,39;;493,39;;399,17;;;;;;;;;;
03.01.2019;01 - 02;481,8;484,37;484,37;484,37;484,37;484,37;448,01;448,01;484,37;484,37;484,37;484,37;484,37;484,37;;484,37;;484,37;;367,07;;;;;;;;;;
03.01.2019;02 - 03;478,43;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;478,63;;478,63;;478,63;;350,42;;;;;;;;;;
03.01.2019;03 - 04;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;479,52;;479,52;;479,52;;356,96;;;;;;;;;;
03.01.2019;04 - 05;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;483,38;;483,38;;483,38;;379,95;;;;;;;;;;
03.01.2019;05 - 06;490,32;491,51;491,51;491,51;491,51;491,51;454,95;454,95;491,51;491,51;491,51;491,51;491,51;491,51;;491,51;;491,51;;491,51;;;;;;;;;;
03.01.2019;06 - 07;507,56;506,96;506,96;506,96;506,96;510,73;505,97;505,97;506,96;506,96;506,96;506,96;506,96;506,96;;510,73;;510,73;;506,96;;;;;;;;;;
03.01.2019;07 - 08;534,7;534,11;534,11;534,11;534,11;565,61;522,81;534,11;534,11;534,11;534,11;534,11;534,11;534,11;;565,61;;565,61;;534,11;;;;;;;;;;
03.01.2019;08 - 09;565,81;544,51;544,51;583,15;583,15;583,15;623,08;611,88;583,15;583,15;561,45;544,51;544,51;544,51;;583,15;;583,15;;583,15;;;;;;;;;;
03.01.2019;09 - 10;565,51;537,67;537,67;585,92;585,92;585,92;594,74;594,74;585,92;585,92;562,34;537,67;537,67;537,67;;585,92;;585,92;;585,92;;;;;;;;;;
03.01.2019;10 - 11;559,17;532,92;532,92;576,51;576,51;576,51;576,51;576,51;576,51;576,51;562,54;532,92;532,92;532,92;;576,51;;576,51;;576,51;;;;;;;;;;
03.01.2019;11 - 12;565,61;527,57;527,57;609,01;609,01;609,01;609,01;609,01;609,01;609,01;561,55;527,57;527,57;527,57;;609,01;;609,01;;609,01;;;;;;;;;;
03.01.2019;12 - 13;563,14;526,58;526,58;614,26;614,26;614,26;614,26;614,26;614,26;614,26;560,96;526,58;526,58;526,58;;614,26;;614,26;;614,26;;;;;;;;;;
